id,titre,description,sortie,genre,realisateur
1,interstellar,"Dans un futur proche, la Terre est de moins en moins accueillante pour l'humanité qui connaît une grave crise alimentaire. Le film raconte les aventures d'un groupe d'explorateurs qui utilise une faille récemment découverte dans l'espace-temps afin de repousser les limites humaines et partir à la conquête des distances astronomiques dans un voyage interstellaire.",2014,drame,christopher nolan
2,inception,"Dom Cobb est un voleur expérimenté dans l'art périlleux de `l'extraction' : sa spécialité consiste à s'approprier les secrets les plus précieux d'un individu, enfouis au plus profond de son subconscient, pendant qu'il rêve et que son esprit est particulièrement vulnérable. Très recherché pour ses talents dans l'univers trouble de l'espionnage industriel, Cobb est aussi devenu un fugitif traqué dans le monde entier. Cependant, une ultime mission pourrait lui permettre de retrouver sa vie d'avant.",2010,thriller,christopher nolan
3,inglorious basterds,"Dans la France occupée de 1940, Shosanna Dreyfus assiste à l'exécution de sa famille tombée entre les mains du colonel nazi Hans Landa. Shosanna s'échappe de justesse et s'enfuit à Paris où elle se construit une nouvelle identité en devenant exploitante d'une salle de cinéma. Quelque part ailleurs en Europe, le lieutenant Aldo Raine forme un groupe de soldats juifs américains pour mener des actions punitives particulièrement sanglantes contre les nazis.",2009,action,quentin tarantino






10,Venom,"L'un des personnages les plus célèbres et les plus complexes de Marvel occupe le devant de la scène alors qu'Eddie Brock (Tom Hardy) devient l'hôte du symbiote alien Venom. En tant que journaliste, Eddie a essayé de faire tomber le célèbre fondateur de la Life Foundation, le génie Carlton Drake (Riz Ahmed) et cette obsession a ruiné sa carrière et sa relation avec sa petite amie, Anne Weying (Michelle Williams). En enquêtant sur l'une des expériences de Drake, le Venin extraterrestre fusionne avec le corps d'Eddie, et il a soudain de nouvelles superpuissances incroyables, ainsi que la chance de faire tout ce qu'il veut. Sombre, imprévisible et alimenté par la rage, Venom laisse Eddie lutter pour contrôler des capacités dangereuses qu'il trouve aussi stimulantes et enivrantes. Eddie et Venom ont besoin l'un de l'autre pour obtenir ce qu'ils recherchent, ils s'entremêlent de plus en plus. Où Eddie finit-il et Venom commence-t-il ?", 2018, Action Horreur Science-Fiction, Ruben Fleischer
11,Kimi no na wa,"Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis. À travers ses rêves, Mitsuha se voit littéralement propulsée dans la vie du jeune garçon au point qu’elle croit vivre la réalité... Tout bascule lorsqu’elle réalise que Taki rêve également d’une vie dans les montagnes, entouré d’une famille traditionnelle… dans la peau d’une jeune fille ! Une étrange relation s’installe entre leurs deux corps qu’ils accaparent mutuellement. Quel mystère se cache derrière ces rêves étranges qui unissent deux destinées que tout oppose et qui ne se sont jamais rencontrées ?",2016,Animation Fantastique,Makoto Shinkai
12,La Beuze,"Alphonse Brown, fils caché de James Brown, et Scotch sont amis depuis l'enfance. Ils vivent au Havre de petits deals minables jusqu'au jour où Alphonse se fait serrer. Après un an de prison, il retrouve Scotch et la liberté avec la ferme intention de tirer un trait sur les galères du passé pour suivre les traces de son père dans la musique. Le soir de la libération d'Alphonse, sa vie et celle de Scotch vont basculer quand ils découvrent dans un bunker, une vieille malle au contenu mystérieux. Alors qu'ils débarquent à Paris dans l'espoir d'entamer une grande carrière dans la musique, ils vont vite se rendre compte que leur trésor est l'objet de toutes les convoitises...",2003,Comédie,François Desagnat
